Longitude	Latitude	Species_TNRS	lon.test	lat.test
145,9806333	-34,22717515	Abeliophyllum distichum	0,980633325	0,227175149
150,0906473	-36,13176867	Abeliophyllum distichum	0,090647277	0,131768673
144,3102	-38,1536	Abeliophyllum distichum	0,3102	0,1536
146,1917794	-34,62373558	Abeliophyllum distichum	0,19177938	0,623735579
144,9163	-37,6208	Abeliophyllum distichum	0,9163	0,6208
144,2872	-36,7852	Abeliophyllum distichum	0,2872	0,7852
138,540833	-35,011389	Abeliophyllum distichum	0,540833	0,011389
139,35	-35,016667	Abeliophyllum distichum	0,35	0,016667
167,425	-44,9003	Abeliophyllum distichum	0,425	0,9003
167,316666	-45,016666	Abeliophyllum distichum	0,316666	0,016666
147,0174	-38,081	Abeliophyllum distichum	0,0174	0,081
144,5159	-37,3046	Abeliophyllum distichum	0,5159	0,3046
138,92962	-35,49957	Abeliophyllum distichum	0,92962	0,49957
151,7225887	-32,80701287	Abeliophyllum distichum	0,722588744	0,807012868
145,0769	-37,768	Abeliophyllum distichum	0,0769	0,768
144,3008	-38,1477	Abeliophyllum distichum	0,3008	0,1477
146,37	-33,3	Abeliophyllum distichum	0,37	0,3
149,3349294	-29,34252673	Abeliophyllum distichum	0,334929372	0,342526726
151,5019327	-29,04814304	Abeliophyllum distichum	0,501932711	0,048143037
150,7341665	-28,79953774	Abeliophyllum distichum	0,734166508	0,799537737
150,4075049	-28,64092918	Abeliophyllum distichum	0,40750491	0,64092918
152,058863	-32,76259498	Abeliophyllum distichum	0,058862976	0,762594981
145,1405	-37,7388	Abeliophyllum distichum	0,1405	0,7388
145,0983	-36,7988	Abeliophyllum distichum	0,0983	0,7988
138,91978	-35,49	Abeliophyllum distichum	0,91978	0,49
153,0833333	-27,58333333	Abeliophyllum distichum	0,083333333	0,583333333
138,79142	-35,50584	Abeliophyllum distichum	0,79142	0,50584
151,08	-33,75	Abeliophyllum distichum	0,08	0,75
150,6978363	-33,88811389	Abeliophyllum distichum	0,697836311	0,88811389
145,4069	-38,0719	Abeliophyllum distichum	0,4069	0,0719
138,89049	-35,52764	Abeliophyllum distichum	0,89049	0,52764
146,2597	-38,115	Abeliophyllum distichum	0,2597	0,115
150,92323	-34,32592956	Abeliophyllum distichum	0,923229985	0,325929555
145,2147222	-23,65	Abeliophyllum distichum	0,214722222	0,65
147,5275009	-30,76661175	Abeliophyllum distichum	0,527500856	0,766611752
144,8491	-37,5525	Abeliophyllum distichum	0,8491	0,5525
147,2667	-42,9167	Abeliophyllum distichum	0,2667	0,9167
146,4902	-38,2544	Abeliophyllum distichum	0,4902	0,2544
138,716667	-34,883333	Abeliophyllum distichum	0,716667	0,883333
151,2886046	-32,90820948	Abeliophyllum distichum	0,288604573	0,908209478
145,1219	-37,6922	Abeliophyllum distichum	0,1219	0,6922
144,8805	-37,8555	Abeliophyllum distichum	0,8805	0,8555
139,11422	-35,59958	Abeliophyllum distichum	0,11422	0,59958
152,056824	-32,76527399	Abeliophyllum distichum	0,056824027	0,765273986
139,23933	-35,64277	Abeliophyllum distichum	0,23933	0,64277
145,7316	-36,0919	Abeliophyllum distichum	0,7316	0,0919
145,048	-37,7852	Abeliophyllum distichum	0,048	0,7852
149,3119795	-29,34213262	Abeliophyllum distichum	0,311979519	0,342132622
