"Species_TNRS";"Species";"Longitude";"Latitude";"Country";"Locality";"Elevation";"Event_date";"Extracted_from";"Restriction"
"Abeliophyllum distichum";"Paspalum distichum";153,032775172;-29,653925956;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,144585619;-29,538690285;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,932286655;-31,034478533;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,049207262;-29,639209975;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,3752;-37,663;"Australia";"E2399300"; ;"1994-12-11";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,003548712;-30,93816409;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";146,1872;-38,7452;"Australia";"O0053600"; ;"2002-12-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,105530039;-29,587111133;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,936092537;-30,952757065;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";141,5929;-38,3487;"Australia";"D00751"; ;"1899-12-30";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,954047035;-30,977028277;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";144,4111;-37,7106;"Australia";"T2535700"; ;"2012-12-14";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";147,06110725735;-41,3491319540071;"Australia";""; ;"1990-12-09";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,970119762;-29,682824894;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";147,25;-42,916667;"Australia";"Bower Creek"; ;"1897-12-28";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,140505926;-29,55149242;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
